token	modality	description	chapter
C07AA	prescription	Beta blocking agents, non-selective	CARDIOVASCULAR SYSTEM
C07AB	prescription	Beta blocking agents, selective	CARDIOVASCULAR SYSTEM
C07AG	prescription	Alpha and beta blocking agents	CARDIOVASCULAR SYSTEM
C07BB	prescription	Beta blocking agents, selective, and thiazides	CARDIOVASCULAR SYSTEM
C07CB	prescription	Beta blocking agents, selective, and other diuretics	CARDIOVASCULAR SYSTEM
C07FB	prescription	Beta blocking agents and calcium channel blockers	CARDIOVASCULAR SYSTEM
C08CA	prescription	Dihydropyridine derivatives	CARDIOVASCULAR SYSTEM
C08DA	prescription	Phenylalkylamine derivatives	CARDIOVASCULAR SYSTEM
C08DB	prescription	Benzothiazepine derivatives	CARDIOVASCULAR SYSTEM
C09AA	prescription	ACE inhibitors, plain	CARDIOVASCULAR SYSTEM
C09BA	prescription	ACE inhibitors and diuretics	CARDIOVASCULAR SYSTEM
C09CA	prescription	Angiotensin II receptor blockers (ARBs), plain	CARDIOVASCULAR SYSTEM
C09DA	prescription	Angiotensin II receptor blockers (ARBs) and diuretics	CARDIOVASCULAR SYSTEM
C09DB	prescription	Angiotensin II receptor blockers (ARBs) and calcium channel blockers	CARDIOVASCULAR SYSTEM
C10AA	prescription	HMG CoA reductase inhibitors	CARDIOVASCULAR SYSTEM
C10AB	prescription	Fibrates	CARDIOVASCULAR SYSTEM
C10AC	prescription	Bile acid sequestrants	CARDIOVASCULAR SYSTEM
C10AD	prescription	Nicotinic acid and derivatives	CARDIOVASCULAR SYSTEM
C10AX	prescription	Other lipid modifying agents	CARDIOVASCULAR SYSTEM
D01AA	prescription	Antibiotics	DERMATOLOGICALS
D01AC	prescription	Imidazole and triazole derivatives	DERMATOLOGICALS
D01AE	prescription	Other antifungals for topical use	DERMATOLOGICALS
D01BA	prescription	Antifungals for systemic use	DERMATOLOGICALS
D02AB	prescription	Zinc products	DERMATOLOGICALS
D02AC	prescription	Soft paraffin and fat products	DERMATOLOGICALS
D02AF	prescription	Salicylic acid preparations	DERMATOLOGICALS
D02AX	prescription	Other emollients and protectives	DERMATOLOGICALS
D04AA	prescription	Antihistamines for topical use	DERMATOLOGICALS
D04AB	prescription	Anesthetics for topical use	DERMATOLOGICALS
D04AX	prescription	Other antipruritics	DERMATOLOGICALS
D05AA	prescription	Tars	DERMATOLOGICALS
D05AX	prescription	Other antipsoriatics for topical use	DERMATOLOGICALS
D05BA	prescription	Psoralens for systemic use	DERMATOLOGICALS
D05BB	prescription	Retinoids for treatment of psoriasis	DERMATOLOGICALS
D06AA	prescription	Tetracycline and derivatives	DERMATOLOGICALS
D06AX	prescription	Other antibiotics for topical use	DERMATOLOGICALS
D06BA	prescription	Sulfonamides	DERMATOLOGICALS
D06BB	prescription	Antivirals	DERMATOLOGICALS
D06BX	prescription	Other chemotherapeutics	DERMATOLOGICALS
D07AA	prescription	Corticosteroids, weak (group I)	DERMATOLOGICALS
D07AB	prescription	Corticosteroids, moderately potent (group II)	DERMATOLOGICALS
D07AC	prescription	Corticosteroids, potent (group III)	DERMATOLOGICALS
D07AD	prescription	Corticosteroids, very potent (group IV)	DERMATOLOGICALS
D07BB	prescription	Corticosteroids, moderately potent, combinations with antiseptics	DERMATOLOGICALS
D07BC	prescription	Corticosteroids, potent, combinations with antiseptics	DERMATOLOGICALS
D07CA	prescription	Corticosteroids, weak, combinations with antibiotics	DERMATOLOGICALS
D07CB	prescription	Corticosteroids, moderately potent, combinations with antibiotics	DERMATOLOGICALS
D07CC	prescription	Corticosteroids, potent, combinations with antibiotics	DERMATOLOGICALS
D07XA	prescription	Corticosteroids, weak, other combinations	DERMATOLOGICALS
D07XB	prescription	Corticosteroids, moderately potent, other combinations	DERMATOLOGICALS
D07XC	prescription	Corticosteroids, potent, other combinations	DERMATOLOGICALS
D08AC	prescription	Biguanides and amidines	DERMATOLOGICALS
D08AX	prescription	Other antiseptics and disinfectants	DERMATOLOGICALS
D10AD	prescription	Retinoids for topical use in acne	DERMATOLOGICALS
D10AE	prescription	Peroxides	DERMATOLOGICALS
D10AF	prescription	Antiinfectives for treatment of acne	DERMATOLOGICALS
D10AX	prescription	Other anti-acne preparations for topical use	DERMATOLOGICALS
D10BA	prescription	Retinoids for treatment of acne	DERMATOLOGICALS
D11AA	prescription	Antihidrotics	DERMATOLOGICALS
D11AC	prescription	Medicated shampoos	DERMATOLOGICALS
D11AF	prescription	Wart and anti-corn preparations	DERMATOLOGICALS
D11AH	prescription	Agents for dermatitis, excluding corticosteroids	DERMATOLOGICALS
D11AX	prescription	Other dermatologicals	DERMATOLOGICALS
G01AA	prescription	Antibiotics	GENITO URINARY SYSTEM AND SEX HORMONES
G01AF	prescription	Imidazole derivatives	GENITO URINARY SYSTEM AND SEX HORMONES
G01AG	prescription	Triazole derivatives	GENITO URINARY SYSTEM AND SEX HORMONES
G02AB	prescription	Ergot alkaloids	GENITO URINARY SYSTEM AND SEX HORMONES
G02BA	prescription	Intrauterine contraceptives	GENITO URINARY SYSTEM AND SEX HORMONES
G02BB	prescription	Intravaginal contraceptives	GENITO URINARY SYSTEM AND SEX HORMONES
G02CB	prescription	Prolactine inhibitors	GENITO URINARY SYSTEM AND SEX HORMONES
G03AA	prescription	Progestogens and estrogens, fixed combinations	GENITO URINARY SYSTEM AND SEX HORMONES
G03AB	prescription	Progestogens and estrogens, sequential preparations	GENITO URINARY SYSTEM AND SEX HORMONES
G03AC	prescription	Progestogens	GENITO URINARY SYSTEM AND SEX HORMONES
G03AD	prescription	Emergency contraceptives	GENITO URINARY SYSTEM AND SEX HORMONES
G03BA	prescription	3-oxoandrosten (4) derivatives	GENITO URINARY SYSTEM AND SEX HORMONES
G03CA	prescription	Natural and semisynthetic estrogens, plain	GENITO URINARY SYSTEM AND SEX HORMONES
G03CB	prescription	Synthetic estrogens, plain	GENITO URINARY SYSTEM AND SEX HORMONES
G03CX	prescription	Other estrogens	GENITO URINARY SYSTEM AND SEX HORMONES
G03DA	prescription	Pregnen (4) derivatives	GENITO URINARY SYSTEM AND SEX HORMONES
G03DB	prescription	Pregnadien derivatives	GENITO URINARY SYSTEM AND SEX HORMONES
G03DC	prescription	Estren derivatives	GENITO URINARY SYSTEM AND SEX HORMONES
G03FA	prescription	Progestogens and estrogens, fixed combinations	GENITO URINARY SYSTEM AND SEX HORMONES
G03FB	prescription	Progestogens and estrogens, sequential preparations	GENITO URINARY SYSTEM AND SEX HORMONES
G03GA	prescription	Gonadotropins	GENITO URINARY SYSTEM AND SEX HORMONES
G03GB	prescription	Ovulation stimulants, synthetic	GENITO URINARY SYSTEM AND SEX HORMONES
G03HA	prescription	Antiandrogens, plain	GENITO URINARY SYSTEM AND SEX HORMONES
G03HB	prescription	Antiandrogens and estrogens	GENITO URINARY SYSTEM AND SEX HORMONES
G03XB	prescription	Progesterone receptor modulators	GENITO URINARY SYSTEM AND SEX HORMONES
G04BD	prescription	Drugs for urinary frequency and incontinence	GENITO URINARY SYSTEM AND SEX HORMONES
G04BE	prescription	Drugs used in erectile dysfunction	GENITO URINARY SYSTEM AND SEX HORMONES
G04CA	prescription	Alpha-adrenoreceptor antagonists	GENITO URINARY SYSTEM AND SEX HORMONES
G04CB	prescription	Testosterone-5-alpha reductase inhibitors	GENITO URINARY SYSTEM AND SEX HORMONES
H01AC	prescription	Somatropin and somatropin agonists	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
H01BA	prescription	Vasopressin and analogues	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
H01BB	prescription	Oxytocin and analogues	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
H01CA	prescription	Gonadotropin-releasing hormones	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
H01CC	prescription	Anti-gonadotropin-releasing hormones	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
H02AA	prescription	Mineralocorticoids	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
H02AB	prescription	Glucocorticoids	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
H03AA	prescription	Thyroid hormones	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
H03BA	prescription	Thiouracils	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
H03BB	prescription	Sulfur-containing imidazole derivatives	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
H04AA	prescription	Glycogenolytic hormones	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
J01AA	prescription	Tetracyclines	ANTIINFECTIVES FOR SYSTEMIC USE
J01CA	prescription	Penicillins with extended spectrum	ANTIINFECTIVES FOR SYSTEMIC USE
J01CE	prescription	Beta-lactamase sensitive penicillins	ANTIINFECTIVES FOR SYSTEMIC USE
J01CF	prescription	Beta-lactamase resistant penicillins	ANTIINFECTIVES FOR SYSTEMIC USE
J01CR	prescription	Combinations of penicillins, incl. beta-lactamase inhibitors	ANTIINFECTIVES FOR SYSTEMIC USE
J01DB	prescription	First-generation cephalosporins	ANTIINFECTIVES FOR SYSTEMIC USE
J01DC	prescription	Second-generation cephalosporins	ANTIINFECTIVES FOR SYSTEMIC USE
J01DD	prescription	Third-generation cephalosporins	ANTIINFECTIVES FOR SYSTEMIC USE
J01EA	prescription	Trimethoprim and derivatives	ANTIINFECTIVES FOR SYSTEMIC USE
J01EB	prescription	Short-acting sulfonamides	ANTIINFECTIVES FOR SYSTEMIC USE
J01EE	prescription	Combinations of sulfonamides and trimethoprim, incl. derivatives	ANTIINFECTIVES FOR SYSTEMIC USE
J01FA	prescription	Macrolides	ANTIINFECTIVES FOR SYSTEMIC USE
J01FF	prescription	Lincosamides	ANTIINFECTIVES FOR SYSTEMIC USE
J01GB	prescription	Other aminoglycosides	ANTIINFECTIVES FOR SYSTEMIC USE
J01MA	prescription	Fluoroquinolones	ANTIINFECTIVES FOR SYSTEMIC USE
J01XA	prescription	Glycopeptide antibacterials	ANTIINFECTIVES FOR SYSTEMIC USE
J01XB	prescription	Polymyxins	ANTIINFECTIVES FOR SYSTEMIC USE
J01XC	prescription	Steroid antibacterials	ANTIINFECTIVES FOR SYSTEMIC USE
J01XE	prescription	Nitrofuran derivatives	ANTIINFECTIVES FOR SYSTEMIC USE
J01XX	prescription	Other antibacterials	ANTIINFECTIVES FOR SYSTEMIC USE
J02AB	prescription	Imidazole derivatives	ANTIINFECTIVES FOR SYSTEMIC USE
J02AC	prescription	Triazole and tetrazole derivatives	ANTIINFECTIVES FOR SYSTEMIC USE
J04AB	prescription	Antibiotics	ANTIINFECTIVES FOR SYSTEMIC USE
J04AC	prescription	Hydrazides	ANTIINFECTIVES FOR SYSTEMIC USE
J04AK	prescription	Other drugs for treatment of tuberculosis	ANTIINFECTIVES FOR SYSTEMIC USE
J04BA	prescription	Drugs for treatment of lepra	ANTIINFECTIVES FOR SYSTEMIC USE
J05AB	prescription	Nucleosides and nucleotides excl. reverse transcriptase inhibitors	ANTIINFECTIVES FOR SYSTEMIC USE
J05AH	prescription	Neuraminidase inhibitors	ANTIINFECTIVES FOR SYSTEMIC USE
J06BA	prescription	Immunoglobulins, normal human	ANTIINFECTIVES FOR SYSTEMIC USE
J06BB	prescription	Specific immunoglobulins	ANTIINFECTIVES FOR SYSTEMIC USE
J07AE	prescription	Cholera vaccines	ANTIINFECTIVES FOR SYSTEMIC USE
J07AH	prescription	Meningococcal vaccines	ANTIINFECTIVES FOR SYSTEMIC USE
J07AL	prescription	Pneumococcal vaccines	ANTIINFECTIVES FOR SYSTEMIC USE
J07AM	prescription	Tetanus vaccines	ANTIINFECTIVES FOR SYSTEMIC USE
J07AP	prescription	Typhoid vaccines	ANTIINFECTIVES FOR SYSTEMIC USE
J07BA	prescription	Encephalitis vaccines	ANTIINFECTIVES FOR SYSTEMIC USE
J07BB	prescription	Influenza vaccines	ANTIINFECTIVES FOR SYSTEMIC USE
J07BC	prescription	Hepatitis vaccines	ANTIINFECTIVES FOR SYSTEMIC USE
J07BG	prescription	Rabies vaccines	ANTIINFECTIVES FOR SYSTEMIC USE
J07BH	prescription	Rota virus diarrhea vaccines	ANTIINFECTIVES FOR SYSTEMIC USE
J07BK	prescription	Varicella zoster vaccines	ANTIINFECTIVES FOR SYSTEMIC USE
J07BL	prescription	Yellow fever vaccines	ANTIINFECTIVES FOR SYSTEMIC USE
J07BM	prescription	Papillomavirus vaccines	ANTIINFECTIVES FOR SYSTEMIC USE
L01	prescription	ANTINEOPLASTIC AGENTS	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01AA	prescription	Nitrogen mustard analogues	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01BA	prescription	Folic acid analogues	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01BB	prescription	Purine analogues	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L02AE	prescription	Gonadotropin releasing hormone analogues	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L02BA	prescription	Anti-estrogens	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L02BG	prescription	Aromatase inhibitors	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L04AA	prescription	Selective immunosuppressants	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L04AB	prescription	Tumor necrosis factor alpha (TNF-α) inhibitors	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L04AD	prescription	Calcineurin inhibitors	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L04AX	prescription	Other immunosuppressants	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
M01AA	prescription	Butylpyrazolidines	MUSCULO-SKELETAL SYSTEM
M01AB	prescription	Acetic acid derivatives and related substances	MUSCULO-SKELETAL SYSTEM
M01AC	prescription	Oxicams	MUSCULO-SKELETAL SYSTEM
M01AE	prescription	Propionic acid derivatives	MUSCULO-SKELETAL SYSTEM
M01AG	prescription	Fenamates	MUSCULO-SKELETAL SYSTEM
M01AH	prescription	Coxibs	MUSCULO-SKELETAL SYSTEM
M01AX	prescription	Other antiinflammatory and antirheumatic agents, non-steroids	MUSCULO-SKELETAL SYSTEM
M01CC	prescription	Penicillamine and similar agents	MUSCULO-SKELETAL SYSTEM
M02AA	prescription	Antiinflammatory preparations, non-steroids for topical use	MUSCULO-SKELETAL SYSTEM
M03BA	prescription	Carbamic acid esters	MUSCULO-SKELETAL SYSTEM
M03BB	prescription	Oxazol, thiazine, and triazine derivatives	MUSCULO-SKELETAL SYSTEM
M03BX	prescription	Other centrally acting agents	MUSCULO-SKELETAL SYSTEM
M03CA	prescription	Dantrolene and derivatives	MUSCULO-SKELETAL SYSTEM
M04AA	prescription	Preparations inhibiting uric acid production	MUSCULO-SKELETAL SYSTEM
M04AB	prescription	Preparations increasing uric acid excretion	MUSCULO-SKELETAL SYSTEM
M04AC	prescription	Preparations with no effect on uric acid metabolism	MUSCULO-SKELETAL SYSTEM
M05BA	prescription	Bisphosphonates	MUSCULO-SKELETAL SYSTEM
N01BB	prescription	Amides	NERVOUS SYSTEM
N02AA	prescription	Natural opium alkaloids	NERVOUS SYSTEM
N02AB	prescription	Phenylpiperidine derivatives	NERVOUS SYSTEM
N02AC	prescription	Diphenylpropylamine derivatives	NERVOUS SYSTEM
N02AD	prescription	Benzomorphan derivatives	NERVOUS SYSTEM
N02AE	prescription	Oripavine derivatives	NERVOUS SYSTEM
N02AG	prescription	Opioids in combination with antispasmodics	NERVOUS SYSTEM
N02AJ	prescription	Opioids in combination with non-opioid analgesics	NERVOUS SYSTEM
N02AX	prescription	Other opioids	NERVOUS SYSTEM
N02BA	prescription	Salicylic acid and derivatives	NERVOUS SYSTEM
N02BB	prescription	Pyrazolones	NERVOUS SYSTEM
N02BE	prescription	Anilides	NERVOUS SYSTEM
N02BG	prescription	Other analgesics and antipyretics	NERVOUS SYSTEM
N02CA	prescription	Ergot alkaloids	NERVOUS SYSTEM
N02CC	prescription	Selective serotonin (5HT1) agonists	NERVOUS SYSTEM
N02CX	prescription	Other antimigraine preparations	NERVOUS SYSTEM
N03AA	prescription	Barbiturates and derivatives	NERVOUS SYSTEM
N03AB	prescription	Hydantoin derivatives	NERVOUS SYSTEM
N03AD	prescription	Succinimide derivatives	NERVOUS SYSTEM
N03AE	prescription	Benzodiazepine derivatives	NERVOUS SYSTEM
N03AF	prescription	Carboxamide derivatives	NERVOUS SYSTEM
N03AG	prescription	Fatty acid derivatives	NERVOUS SYSTEM
N03AX	prescription	Other antiepileptics	NERVOUS SYSTEM
N04AA	prescription	Tertiary amines	NERVOUS SYSTEM
N04AB	prescription	Ethers chemically close to antihistamines	NERVOUS SYSTEM
N04AC	prescription	Ethers of tropine or tropine derivatives	NERVOUS SYSTEM
N04BA	prescription	Dopa and dopa derivatives	NERVOUS SYSTEM
N04BB	prescription	Adamantane derivatives	NERVOUS SYSTEM
N04BC	prescription	Dopamine agonists	NERVOUS SYSTEM
N04BD	prescription	Monoamine oxidase B inhibitors	NERVOUS SYSTEM
N05AA	prescription	Phenothiazines with aliphatic side-chain	NERVOUS SYSTEM
N05AB	prescription	Phenothiazines with piperazine structure	NERVOUS SYSTEM
N05AC	prescription	Phenothiazines with piperidine structure	NERVOUS SYSTEM
N05AD	prescription	Butyrophenone derivatives	NERVOUS SYSTEM
N05AE	prescription	Indole derivatives	NERVOUS SYSTEM
N05AF	prescription	Thioxanthene derivatives	NERVOUS SYSTEM
N05AG	prescription	Diphenylbutylpiperidine derivatives	NERVOUS SYSTEM
N05AH	prescription	Diazepines, oxazepines, thiazepines and oxepines	NERVOUS SYSTEM
N05AL	prescription	Benzamides	NERVOUS SYSTEM
N05AN	prescription	Lithium	NERVOUS SYSTEM
N05AX	prescription	Other antipsychotics	NERVOUS SYSTEM
N05BA	prescription	Benzodiazepine derivatives	NERVOUS SYSTEM
N05BB	prescription	Diphenylmethane derivatives	NERVOUS SYSTEM
N05BE	prescription	Azaspirodecanedione derivatives	NERVOUS SYSTEM
N05CD	prescription	Benzodiazepine derivatives	NERVOUS SYSTEM
N05CF	prescription	Benzodiazepine related drugs	NERVOUS SYSTEM
N05CH	prescription	Melatonin receptor agonists	NERVOUS SYSTEM
N06AA	prescription	Non-selective monoamine reuptake inhibitors	NERVOUS SYSTEM
N06AB	prescription	Selective serotonin reuptake inhibitors	NERVOUS SYSTEM
N06AF	prescription	Monoamine oxidase inhibitors, non-selective	NERVOUS SYSTEM
N06AG	prescription	Monoamine oxidase A inhibitors	NERVOUS SYSTEM
N06AX	prescription	Other antidepressants	NERVOUS SYSTEM
N06BA	prescription	Centrally acting sympathomimetics	NERVOUS SYSTEM
N07AA	prescription	Anticholinesterases	NERVOUS SYSTEM
N07BA	prescription	Drugs used in nicotine dependence	NERVOUS SYSTEM
N07BB	prescription	Drugs used in alcohol dependence	NERVOUS SYSTEM
N07BC	prescription	Drugs used in opioid dependence	NERVOUS SYSTEM
N07CA	prescription	Antivertigo preparations	NERVOUS SYSTEM
N07XX	prescription	Other nervous system drugs	NERVOUS SYSTEM
P01AB	prescription	Nitroimidazole derivatives	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
P01BA	prescription	Aminoquinolines	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
P01BB	prescription	Biguanides	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
P01BC	prescription	Methanolquinolines	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
P01BD	prescription	Diaminopyrimidines	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
P02CA	prescription	Benzimidazole derivatives	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
P02CF	prescription	Avermectines	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
P02CX	prescription	Other antinematodals	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
P03AA	prescription	Sulfur containing products	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
P03AC	prescription	Pyrethrines, incl. synthetic compounds	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
P03AX	prescription	Other ectoparasiticides, incl. scabicides	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
R01AA	prescription	Sympathomimetics, plain	RESPIRATORY SYSTEM
R01AC	prescription	Antiallergic agents, excl. corticosteroids	RESPIRATORY SYSTEM
R01AD	prescription	Corticosteroids	RESPIRATORY SYSTEM
R01AX	prescription	Other nasal preparations	RESPIRATORY SYSTEM
R01BA	prescription	Sympathomimetics	RESPIRATORY SYSTEM
R02AA	prescription	Antiseptics	RESPIRATORY SYSTEM
R02AD	prescription	Anesthetics, local	RESPIRATORY SYSTEM
R02AX	prescription	Other throat preparations	RESPIRATORY SYSTEM
R03AC	prescription	Selective beta-2-adrenoreceptor agonists	RESPIRATORY SYSTEM
R03AK	prescription	Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics	RESPIRATORY SYSTEM
R03AL	prescription	Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids	RESPIRATORY SYSTEM
R03BA	prescription	Glucocorticoids	RESPIRATORY SYSTEM
R03BB	prescription	Anticholinergics	RESPIRATORY SYSTEM
R03BC	prescription	Antiallergic agents, excl. corticosteroids	RESPIRATORY SYSTEM
R03CC	prescription	Selective beta-2-adrenoreceptor agonists	RESPIRATORY SYSTEM
R03DA	prescription	Xanthines	RESPIRATORY SYSTEM
R03DC	prescription	Leukotriene receptor antagonists	RESPIRATORY SYSTEM
R05CB	prescription	Mucolytics	RESPIRATORY SYSTEM
R05DA	prescription	Opium alkaloids and derivatives	RESPIRATORY SYSTEM
R05DB	prescription	Other cough suppressants	RESPIRATORY SYSTEM
R05FA	prescription	Opium derivatives and expectorants	RESPIRATORY SYSTEM
R06AA	prescription	Aminoalkyl ethers	RESPIRATORY SYSTEM
R06AB	prescription	Substituted alkylamines	RESPIRATORY SYSTEM
R06AD	prescription	Phenothiazine derivatives	RESPIRATORY SYSTEM
R06AE	prescription	Piperazine derivatives	RESPIRATORY SYSTEM
R06AX	prescription	Other antihistamines for systemic use	RESPIRATORY SYSTEM
S01AA	prescription	Antibiotics	SENSORY ORGANS
S01AB	prescription	Sulfonamides	SENSORY ORGANS
S01AD	prescription	Antivirals	SENSORY ORGANS
S01AE	prescription	Fluoroquinolones	SENSORY ORGANS
S01AX	prescription	Other antiinfectives	SENSORY ORGANS
S01BA	prescription	Corticosteroids, plain	SENSORY ORGANS
S01BC	prescription	Antiinflammatory agents, non-steroids	SENSORY ORGANS
S01CA	prescription	Corticosteroids and antiinfectives in combination	SENSORY ORGANS
S01EA	prescription	Sympathomimetics in glaucoma therapy	SENSORY ORGANS
S01EB	prescription	Parasympathomimetics	SENSORY ORGANS
S01EC	prescription	Carbonic anhydrase inhibitors	SENSORY ORGANS
S01ED	prescription	Beta blocking agents	SENSORY ORGANS
S01EE	prescription	Prostaglandin analogues	SENSORY ORGANS
S01FA	prescription	Anticholinergics	SENSORY ORGANS
S01GA	prescription	Sympathomimetics used as decongestants	SENSORY ORGANS
S01GX	prescription	Other antiallergics	SENSORY ORGANS
S01HA	prescription	Local anesthetics	SENSORY ORGANS
S01XA	prescription	Other ophthalmologicals	SENSORY ORGANS
S02AA	prescription	Antiinfectives	SENSORY ORGANS
S02CA	prescription	Corticosteroids and antiinfectives in combination	SENSORY ORGANS
S03BA	prescription	Corticosteroids	SENSORY ORGANS
S03CA	prescription	Corticosteroids and antiinfectives in combination	SENSORY ORGANS
V01AA	prescription	Allergen extracts	VARIOUS
V03AB	prescription	Antidotes	VARIOUS
V03AC	prescription	Iron chelating agents	VARIOUS
V03AE	prescription	Drugs for treatment of hyperkalemia and hyperphosphatemia	VARIOUS
V07AB	prescription	Solvents and diluting agents, incl. irrigating solutions	VARIOUS
110110	ydelse	1st consultation	Laboratory
110112	ydelse	Albumin,P	Laboratory
110113	ydelse	Albumin (el.),P	Laboratory
110120	ydelse	2nd consultation	Laboratory
110127	ydelse	Androgen status	Laboratory
110134	ydelse	Cell.nucleus-as.ana	Laboratory
110140	ydelse	Aspar. aminotrf.	Laboratory
110141	ydelse	HIV 1+2 antibody	Laboratory
110142	ydelse	Beta-globulin	Laboratory
110146	ydelse	Bas.phosphatase,P	Laboratory
110148	ydelse	Basophilocytes, B	Laboratory
110151	ydelse	Bilirubin,P	Laboratory
110156	ydelse	BNP,P	Laboratory
110157	ydelse	Borrelia Ab	Laboratory
110159	ydelse	C Peptide,P	Laboratory
110160	ydelse	CRP,P	Laboratory
110169	ydelse	Calcium ion,P	Laboratory
110170	ydelse	Calcium,P	Laboratory
110176	ydelse	Carcinoembryonic an	Laboratory
110181	ydelse	Cholesterol,P	Laboratory
110190	ydelse	Cobalamin,P	Laboratory
110197	ydelse	Cortisol (tot),P	Laboratory
110199	ydelse	Creatinine,P	Laboratory
110200	ydelse	Creatine kinase,P	Laboratory
110218	ydelse	Erythrocytes,B	Laboratory
110220	ydelse	Sediment react.	Laboratory
110221	ydelse	MCHC,B	Laboratory
110224	ydelse	MCV,B	Laboratory
110226	ydelse	EryVolFrac,B	Laboratory
110230	ydelse	EBV Ab,P	Laboratory
110232	ydelse	Eosinophilocyte,B	Laboratory
110233	ydelse	Erythroblasts,B	Laboratory
110238	ydelse	FSH,P	Laboratory
110241	ydelse	Factor V Leiden mut	Laboratory
110242	ydelse	Ferritin	Laboratory
110244	ydelse	Alpha-1-f>toprot	Laboratory
110245	ydelse	Fibrinogen,P	Laboratory
110248	ydelse	Alpha-1 globulin	Laboratory
110250	ydelse	Alpha-2-Globulin	Laboratory
110251	ydelse	Gamma-globulin	Laboratory
110253	ydelse	Gamma-GT,P	Laboratory
110255	ydelse	Gluc.Dia.fasting,P	Laboratory
110256	ydelse	Glucose,fasting,P	Laboratory
110257	ydelse	Glucose,P	Laboratory
110259	ydelse	Haemoglobin frac.	Laboratory
110267	ydelse	Helicobacter-as	Laboratory
110268	ydelse	HDL cholesterol	Laboratory
110272	ydelse	Haemoglobin,B	Laboratory
110282	ydelse	Hepatitis c ab	Laboratory
110286	ydelse	IgA,P	Laboratory
110289	ydelse	IgE,P	Laboratory
110290	ydelse	Glucose,fasting,S	Laboratory
110291	ydelse	Glucose,S	Laboratory
110292	ydelse	IgG,P	Laboratory
110293	ydelse	IgM,P	Laboratory
110297	ydelse	Coag. 2+7+10 inr	Laboratory
110298	ydelse	Insulin, fasting,P	Laboratory
110300	ydelse	APTT,P	Laboratory
110301	ydelse	Iron,P	Laboratory
110302	ydelse	Potassium,S	Laboratory
110304	ydelse	Carbamazepine,P	Laboratory
110307	ydelse	KF 2+7+10,P	Laboratory
110309	ydelse	Chromosome substrates.	Laboratory
110311	ydelse	HBcAb(tot.)0 1,P	Laboratory
110320	ydelse	Ld-isoenzyme 1	Laboratory
110322	ydelse	Lactate dehydrog.	Laboratory
110337	ydelse	Leukaemia stem cells	Laboratory
110346	ydelse	Luteinising hormone	Laboratory
110347	ydelse	Lymphogr.ven. Ab	Laboratory
110351	ydelse	Methylmalonate,P	Laboratory
110359	ydelse	Metamyelocytes	Laboratory
110363	ydelse	Project Mother-Baby	Laboratory
110370	ydelse	Myelocytes	Laboratory
110373	ydelse	Sodium,P	Laboratory
110382	ydelse	Orosomucoid,P	Laboratory
110385	ydelse	Oxcarbazepine,P	Laboratory
110389	ydelse	Parathyr. hormone	Laboratory
110401	ydelse	Phosphate,P	Laboratory
110407	ydelse	Plasmocytes,B	Laboratory
